name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Windy Erlin ARÉVALO ENCINAS,3035,🇧🇴,528,40-44,https://utmb.world/en/runner/1523069.windy.arevalo,Windy AREVALO
Sungchan PARK,3184,🇰🇷,525,40-44,https://utmb.world/en/runner/1389605.sungchan.park,Sungchan PARK
Emilis DOMARKAS,3196,🇱🇹,507,40-44,https://utmb.world/en/runner/1471999.emilis.domarkas,Emilis DOMARKAS
Andrei Gabriel PREDA,3265,🇷🇴,0,20-34,https://utmb.world/en/runner/1444867.andreigabriel.preda,Andrei-Gabriel PREDA
Arjun Rai KULLING,3220,🇳🇵,0,,,
Diego Enrique MARIN,3235,🇵🇾,0,,,
Dillon MCEVOY,3150,🇮🇪,0,,,
Erland Åkra ELDRUP,3223,🇳🇴,0,20-34,https://utmb.world/en/runner/3005597.erland.akraeldrup,Erland ÅKRA ELDRUP (Erland AKRA ELDRUP)
Ezekiel Cheruiyot KURUI,3181,🇰🇪,0,45-49,https://utmb.world/en/runner/5129338.ezekiel.kurui,Ezekiel KURUI
Francisco Xavier PINTO MORENO,3083,🇪🇨,0,,,
Franco Hernán ORO,3005,🇦🇷,0,,,
Hemant LIMBU,3147,🇮🇳,0,,,
Jeffrey CAMPBELL,3038,🇨🇦,0,,,
Joshua WADE,3120,🇬🇧,0,,,
Kok Wai TSE,3138,🇭🇰,0,,,
Martín Alejandro BALLIRO,3001,🇦🇷,0,,,
Muhammad Aqmal Hakim BIN MOHD ADZMI,3207,🇲🇾,0,,,
Pablo Ariel NADALEZ,3003,🇦🇷,0,,,
Rikki WYNNE,3151,🇮🇪,0,,,
Ryunosuke OMI,3176,🇯🇵,0,,,
Samuel HANSBY,3232,🇳🇿,0,,,
Siouk Har LIM,3210,🇲🇾,0,,,
Yi-Lin CHUNG,3288,🇹🇼,0,40-44,https://utmb.world/en/runner/204258.yilin.chung,Yi Lin CHUNG
