name,bib,sex,flag,race,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Jakob HERRMANN,3025,M,🇦🇹,#2_Trail Long,864,35-39,https://utmb.world/en/runner/3751835.jakob.herrmann,Jakob HERRMANN
George FOSTER,3117,M,🇬🇧,#2_Trail Long,863,35-39,https://utmb.world/en/runner/499635.george.foster,George FOSTER
Christopher RICHARDS,1085,M,🇬🇧,#1_Vertical Uphill,862,20-34,https://utmb.world/en/runner/4635310.christopher.richards,Christopher RICHARDS
Christopher RICHARDS,4087,M,🇬🇧,#5_Mountain Classic Senior,862,20-34,https://utmb.world/en/runner/4635310.christopher.richards,Christopher RICHARDS
Dominik MATT,2027,M,🇦🇹,#3_Trail Short,862,20-34,https://utmb.world/en/runner/2121061.dominik.matt,Dominik MATT
Octaviu Raul BUTACI,3262,M,🇷🇴,#2_Trail Long,862,35-39,https://utmb.world/en/runner/669176.rauloctaviu.butaci,Raul Octaviu BUTACI
Xavier CHEVRIER,1116,M,🇮🇹,#1_Vertical Uphill,862,20-34,https://utmb.world/en/runner/502494.xavier.chevrier,Xavier CHEVRIER
Xavier CHEVRIER,4118,M,🇮🇹,#5_Mountain Classic Senior,862,20-34,https://utmb.world/en/runner/502494.xavier.chevrier,Xavier CHEVRIER
Bogdan DAMIAN,2285,M,🇷🇴,#3_Trail Short,860,35-39,https://utmb.world/en/runner/2974819.damian.bogdan,Damian BOGDAN
Riccardo BORGIALLI,3162,M,🇮🇹,#2_Trail Long,860,20-34,https://utmb.world/en/runner/311862.riccardo.borgialli,Riccardo BORGIALLI
Edward OWENS,1232,M,🇺🇸,#1_Vertical Uphill,859,20-34,https://utmb.world/en/runner/4244924.edward.owens,Edward OWENS
Tobias Dahl FENRE,3224,M,🇳🇴,#2_Trail Long,859,35-39,https://utmb.world/en/runner/3282377.tobiasdahl.fenre,Tobias Dahl FENRE
Bruno SILVA,2276,M,🇵🇹,#3_Trail Short,858,20-34,https://utmb.world/en/runner/1319461.bruno.silva,Bruno SILVA
Miquel CORBERA,1068,M,🇪🇸,#1_Vertical Uphill,858,20-34,https://utmb.world/en/runner/4040827.miquel.corberarubio,Miquel CORBERA RUBIO
Miquel CORBERA,4065,M,🇪🇸,#5_Mountain Classic Senior,858,20-34,https://utmb.world/en/runner/4040827.miquel.corberarubio,Miquel CORBERA RUBIO
Valentin TOMA,2287,M,🇷🇴,#3_Trail Short,858,20-34,https://utmb.world/en/runner/1643477.valentin.toma,Valentin TOMA
Walter MANSER,3278,M,🇨🇭,#2_Trail Long,858,45-49,https://utmb.world/en/runner/320640.walter.manser,Walter MANSER
Nick ELSON,2050,M,🇨🇦,#3_Trail Short,857,35-39,https://utmb.world/en/runner/327266.nick.elson,Nick ELSON
Thomas JOLY DE LOTBINIARE,3118,M,🇬🇧,#2_Trail Long,857,20-34,https://utmb.world/en/runner/1524473.thomas.joly,Thomas JOLY
Tomáš FARNÍK,3074,M,🇨🇿,#2_Trail Long,857,20-34,https://utmb.world/en/runner/911859.tomas.farnik,Tomas FARNIK
Samuel David DAVILA,2358,M,🇻🇪,#3_Trail Short,856,20-34,https://utmb.world/en/runner/959137.samuel.davila,Samuel DAVILA
Roberto BAIÃO,2273,M,🇵🇹,#3_Trail Short,855,20-34,https://utmb.world/en/runner/1729225.roberto.baiao,Roberto BAIÃO
Sebastian FALKENSTEINER,2024,M,🇦🇹,#3_Trail Short,855,20-34,https://utmb.world/en/runner/1008399.sebastian.falkensteiner,Sebastian FALKENSTEINER
Dário MOITOSO,2275,M,🇵🇹,#3_Trail Short,853,20-34,https://utmb.world/en/runner/887761.dario.moitoso,Dario MOITOSO
Casey CAMPBELL,4235,M,🇺🇸,#5_Mountain Classic Senior,852,20-34,https://utmb.world/en/runner/4179295.casey.campbell,Casey CAMPBELL
Catalin SORECAU,3266,M,🇷🇴,#2_Trail Long,852,20-34,https://utmb.world/en/runner/1239841.catalin.sorecau,Catalin SORECAU
Arnar PÉTURSSON,2182,M,🇮🇸,#3_Trail Short,851,20-34,https://utmb.world/en/runner/2125287.arnar.petursson,Arnar PETURSSON
John Ray ONIFA,3242,M,🇵🇭,#2_Trail Long,851,20-34,https://utmb.world/en/runner/1868925.johnray.onifa,John Ray ONIFA
