name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Josip TOLJAN,2077,🇭🇷 (Croatia),738,20-34,https://utmb.world/en/runner/4030989.josip.toljan,Josip TOLJAN
Nikola ŠPOLJAR,2076,🇭🇷 (Croatia),737,20-34,https://utmb.world/en/runner/673125.nikola.spoljar,Nikola SPOLJAR
Randolf GONZALES,2261,🇵🇭 (Philippines),737,20-34,https://utmb.world/en/runner/3582677.randolf.gonzales,Randolf GONZALES
Jayson ZONIO,2263,🇵🇭 (Philippines),735,20-34,https://utmb.world/en/runner/2631445.jayson.zonio,Jayson ZONIO
Hugo César RODRIGUEZ,2006,🇦🇷 (Argentina),732,20-34,https://utmb.world/en/runner/3709139.hugocesar.rodriguez,Hugo-Cesar RODRIGUEZ
Luis VALLE,2064,🇨🇱 (Chile),731,20-34,https://utmb.world/en/runner/487396.luis.valle,Luis VALLE
Dwight GRIEVE,2253,🇳🇿 (New Zealand),730,45-49,https://utmb.world/en/runner/22233.dwight.grieve,Dwight GRIEVE
Otto SAIKKONEN,2119,🇫🇮 (Finland),730,20-34,https://utmb.world/en/runner/1429217.otto.saikkonen,Otto SAIKKONEN
Alexis CASTRO CALCE,2342,🇺🇾 (Uruguay),729,20-34,https://utmb.world/en/runner/4480790.alexis.castro,Alexis CASTRO
Mathieu LENG,2046,🇰🇭 (Cambodia),726,40-44,https://utmb.world/en/runner/565655.mathieu.leng,Mathieu LENG
Kārlis EIDUKS,2213,🇱🇻 (Latvia),721,20-34,https://utmb.world/en/runner/4263161.karlis.eiduks,Kārlis EIDUKS
Juan Pablo LLANOS,2061,🇨🇱 (Chile),719,20-34,https://utmb.world/en/runner/2463443.juanpablo.llanos,Juan Pablo LLANOS
Wilsen SINGGIN,2232,🇲🇾 (Malaysia),717,20-34,https://utmb.world/en/runner/363164.wilsen.singgin,Wilsen SINGGIN
Kyuhwan LEE,2208,🇰🇷 (South Korea),716,40-44,https://utmb.world/en/runner/1509985.kyuhwan.lee,Kyuhwan LEE
Máté DALOS,2159,🇭🇺 (Hungary),712,20-34,https://utmb.world/en/runner/4265863.mate.dalos,Máté DALOS
Sampathkumar SUBRAMANIAN,2170,🇮🇳 (India),709,35-39,https://utmb.world/en/runner/1087373.sampathkumar.subramanian,Sampathkumar SUBRAMANIAN
Gastón Nicolás CAMBARERI,2003,🇦🇷 (Argentina),699,35-39,https://utmb.world/en/runner/3289477.gastonnicolas.cambareri,Gaston Nicolas CAMBARERI
Raivis REINFELDS,2216,🇱🇻 (Latvia),697,35-39,https://utmb.world/en/runner/1692555.raivis.reinfelds,Raivis REINFELDS
Sergejs ĻETA,2215,🇱🇻 (Latvia),697,35-39,https://utmb.world/en/runner/1982919.sergejs.leta,Sergejs ĻETA (Sergejs LETA)
Safrey SUMPING,2233,🇲🇾 (Malaysia),695,40-44,https://utmb.world/en/runner/57387.safrey.sumping,Safrey SUMPING
Marius DIJOKAS,2221,🇱🇹 (Lithuania),692,40-44,https://utmb.world/en/runner/1498151.marius.dijokas,Marius DIJOKAS
Fraser DARCY,2015,🇦🇺 (Australia),690,20-34,https://utmb.world/en/runner/1850393.fraser.darcy,Fraser DARCY
Matías BARROS,2060,🇨🇱 (Chile),681,20-34,https://utmb.world/en/runner/2653499.matias.barros,Matias BARROS
Justinas VAIZMUZYS,2225,🇱🇹 (Lithuania),674,35-39,https://utmb.world/en/runner/2428171.justinas.vaizmuzys,Justinas VAIŽMUŽYS
Vaidas RAMANAUSKAS,2223,🇱🇹 (Lithuania),674,35-39,https://utmb.world/en/runner/4043164.vaidas.ramanauskas,Vaidas RAMANAUSKAS
Som Bahadur THAMI,2171,🇮🇳 (India),673,20-34,https://utmb.world/en/runner/4920884.sombahadur.thami,Som Bahadur THAMI
David LONGO,2017,🇦🇺 (Australia),667,20-34,https://utmb.world/en/runner/454658.david.longo,David LONGO
Andrej HLADNIK,2073,🇭🇷 (Croatia),659,20-34,https://utmb.world/en/runner/5023940.andrej.hladnik,Andrej HLADNIK
Godwin MIRAR,2262,🇵🇭 (Philippines),655,20-34,https://utmb.world/en/runner/3285959.godwin.mirar,Godwin MIRAR
Ante ŽIVKOVIĆ,2078,🇭🇷 (Croatia),647,20-34,https://utmb.world/en/runner/1992659.ante.zivkovic,Ante ZIVKOVIC
Cristian Ariel ARANDA,2258,🇵🇾 (Paraguay),635,20-34,https://utmb.world/en/runner/2132279.cristian.aranda,Cristian ARANDA
Doyun KIM,2206,🇰🇷 (South Korea),628,35-39,https://utmb.world/en/runner/4545164.doyun.kim,Doyun KIM
Sannat SACHDEV,2169,🇮🇳 (India),623,20-34,https://utmb.world/en/runner/2409135.sannat.sachdev,Sannat SACHDEV
Yu-Jian JIANG,2331,🇹🇼 (Taiwan),622,20-34,https://utmb.world/en/runner/4416560.yujian.jiang,Yu Jian JIANG
Nandino MALEŠEVIĆ,2037,🇧🇦 (Bosnia and Herzegovina),613,35-39,https://utmb.world/en/runner/3991386.nandino.malesevic,Nandino MALEŠEVIĆ
Kostyantyn ZHELEZOV,2336,🇺🇦 (Ukraine),612,50-54,https://utmb.world/en/runner/301484.kostyantyn.zhelezov,Kostyantyn ZHELEZOV
Chih-Min CHUANG,2330,🇹🇼 (Taiwan),601,45-49,https://utmb.world/en/runner/1298603.chihmin.chuang,Chih Min CHUANG
Lorenzo RIGHI,2302,🇸🇲 (San Marino),541,20-34,https://utmb.world/en/runner/4950813.lorenzo.righi,Lorenzo RIGHI
Oliver Horst KROLL,2259,🇵🇾 (Paraguay),475,45-49,https://utmb.world/en/runner/3180775.oliverhorst.krollfichter,Oliver Horst KROLL FICHTER
Jean Jacques MOK,2047,🇰🇭 (Cambodia),465,35-39,https://utmb.world/en/runner/2629069.jeanjacques.mok,Jean-Jacques MOK
Jean Luc PUONG,2048,🇰🇭 (Cambodia),449,40-44,https://utmb.world/en/runner/569609.jeanluc.puong,Jean-Luc PUONG
Johan VAN HEERDEN,2294,🇿🇦 (South Africa),430,50-54,https://utmb.world/en/runner/4886812.johan.vanheerden,Johan VAN HEERDEN
Suyong KIM,2207,🇰🇷 (South Korea),407,55-59,https://utmb.world/en/runner/4265135.seyong.kim,Seyong KIM
Adam CUNNINGHAM,2173,🇮🇪 (Ireland),0,,,
Ade PUTRA KATUME,2166,🇮🇩 (Indonesia),0,,,
Alexander CHEPELIN,2139,🇬🇧 (United Kingdom),0,20-34,https://utmb.world/en/runner/2309573.alexander.chepelin,Alexander CHEPELIN
Alexander Marcelo OLIVO MERINO,2097,🇪🇨 (Ecuador),0,,,
Anders Aagaard HANSEN,2088,🇩🇰 (Denmark),0,,,
Attila PELSŐCZY,2160,🇭🇺 (Hungary),0,40-44,https://utmb.world/en/runner/2343917.attila.pelsoczy,Attila PELSŐCZY
Danielius STASIULIS,2224,🇱🇹 (Lithuania),0,35-39,https://utmb.world/en/runner/1051773.danielius.stasiulis,Danielius STASIULIS
Darius BAJARUNAS,2220,🇱🇹 (Lithuania),0,35-39,https://utmb.world/en/runner/3553867.darius.bajarunas,Darius BAJARŪNAS
Dimitri THIOUNN,2044,🇰🇭 (Cambodia),0,,,
Eddy KHAOU,2045,🇰🇭 (Cambodia),0,,,
Eliseo Joaquin NARVAEZ,2004,🇦🇷 (Argentina),0,,,
Elmir ASKAROV,2034,🇦🇿 (Azerbaijan),0,,,
Francisco MOREIRA,2062,🇨🇱 (Chile),0,,,
Geoffrey GIKUNI,2204,🇰🇪 (Kenya),0,,,
Hyung Min HWANG,2205,🇰🇷 (South Korea),0,,,
Jon AZIZ,2345,🇺🇸 (United States),0,,,
Josue Leonardo TACURI GUAMAN,2099,🇪🇨 (Ecuador),0,,,
Karl MIDLANE,2359,🇿🇲 (Zambia),0,,,
Kristian JONES,2141,🇬🇧 (United Kingdom),0,,,
Marcel HÖCHE,2147,🇩🇪 (Germany),0,,,
Mohamad Affindi BIN NUDIN,2231,🇲🇾 (Malaysia),0,35-39,https://utmb.world/en/runner/3906375.mohamadaffindi.binnudin,Mohamad Affindi BIN NUDIN
Mustapha MOUMENE,2002,🇩🇿 (Algeria),0,,,
Nayib Daabal CHMEIT,2357,🇻🇪 (Venezuela),0,,,
Nicolás PALACIOS,2063,🇨🇱 (Chile),0,35-39,https://utmb.world/en/runner/569918.nicolas.palacios,Nicolas PALACIOS
Pavol OROLÍN,2317,🇸🇰 (Slovakia),0,20-34,https://utmb.world/en/runner/806292.pavol.orolin,Pavol OROLIN
Ranto RANTO,2167,🇮🇩 (Indonesia),0,,,
Rodrigo Andres POZO ROSAS,2098,🇪🇨 (Ecuador),0,,,
Rogério SILVESTRIM,2042,🇧🇷 (Brazil),0,,,
Salim BAGHDALI,2001,🇩🇿 (Algeria),0,,,
Shih-Jin CHIEN,2329,🇹🇼 (Taiwan),0,,,
Thorsteinn Roy JÓHANNSSON,2179,🇮🇸 (Iceland),0,,,
Tria SAPUTRA,2168,🇮🇩 (Indonesia),0,,,
Vladislav IXEL,2016,🇦🇺 (Australia),0,35-39,https://utmb.world/en/runner/5062245.vladislav.ixel,Vladislav IXEL
Yousheng GUAN,2070,🇨🇳 (China),0,,,
